,Microsec,Flight_Date,SenseLong,SenseLat,CH4,Peak,Source_Name,points,Utmlong,Utmlat
4434,1930000000.0,2022-07-18 17:31:53,-83.5585835,42.4049845,4,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5585835 42.4049845),289446.6359657414,4697914.227069248
4435,1931000000.0,2022-07-18 17:31:54,-83.5585868,42.4049756,6,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5585868 42.4049756),289446.3345999817,4697913.24693581
4436,1932000000.0,2022-07-18 17:31:55,-83.5585978,42.4049746,2,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5585978 42.4049746),289445.42597583454,4697913.163169062
4437,1933000000.0,2022-07-18 17:31:56,-83.5586038,42.4049773,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5586038 42.4049773),289444.94122312905,4697913.477875845
4438,1934000000.0,2022-07-18 17:31:57,-83.5586081,42.4049823,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5586081 42.4049823),289444.60407367884,4697914.043774493
4439,1935000000.0,2022-07-18 17:31:58,-83.5586226,42.4049861,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5586226 42.4049861),289443.42346936784,4697914.501713271
4440,1936000000.0,2022-07-18 17:31:59,-83.5586313,42.4049806,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5586313 42.4049806),289442.6890718383,4697913.912531704
4441,1937000000.0,2022-07-18 17:32:00,-83.5586323,42.4049703,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5586323 42.4049703),289442.5723059112,4697912.771228621
4442,1938000000.0,2022-07-18 17:32:01,-83.5586448,42.4049646,0,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5586448 42.4049646),289441.52450647124,4697912.169261994
4443,1939000000.0,2022-07-18 17:32:02,-83.5586555,42.4049611,5,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5586555 42.4049611),289440.63220540213,4697911.807134575
4444,1940000000.0,2022-07-18 17:32:03,-83.5586655,42.4049585,7,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5586655 42.4049585),289439.8005246402,4697911.5432134215
4445,1941000000.0,2022-07-18 17:32:04,-83.558674,42.4049543,8,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.558674 42.4049543),289439.08693649207,4697911.097897175
4446,1942000000.0,2022-07-18 17:32:05,-83.5586821,42.4049445,6,0,92003059_20220718_1617_IRW0080.csv,POINT (-83.5586821 42.4049445),289438.38752724195,4697910.029726281
